location,noise,contrast,correct,RT
0.0,0.2,0.53,1.0,0.46358308399794623
0.0,0.2,0.07,0.0,0.43963091699697543
0.0,0.2,0.01,1.0,0.6475841250066878
0.0,0.2,0.02,0.0,0.6235687500011409
0.0,0.2,0.14,1.0,0.6156281250005122
0.0,0.2,0.27,1.0,0.2950245000101859
0.0,0.2,0.04,1.0,0.5595018750027521
0.0,0.2,0.07,0.0,0.6635938749968773
0.0,0.2,0.53,1.0,0.17497879099391866
0.0,0.2,0.02,1.0,0.7596529170114081
0.0,0.2,0.14,1.0,0.42343549999350216
0.0,0.2,0.01,1.0,0.7196016249945387
0.0,0.2,0.27,1.0,0.4956627089995891
0.0,0.2,0.04,1.0,0.39958291700168047
0.0,0.2,0.02,0.0,0.43953912500001024
0.0,0.2,0.07,1.0,0.5916053340042708
0.0,0.2,0.01,0.0,0.5356182499963325
0.0,0.2,0.14,1.0,0.33557345799636096
0.0,0.2,0.27,1.0,0.6315643330017338
0.0,0.2,0.53,0.0,0.5835864160035271
0.0,0.2,0.01,0.0,0.6955913330020849
0.0,0.2,0.04,0.0,0.855093250007485
0.0,0.2,0.07,1.0,0.6155808750045253
0.0,0.2,0.14,1.0,0.40764679199492093
0.0,0.2,0.27,1.0,0.7756598749983823
0.0,0.2,0.53,1.0,0.4629644590022508
0.0,0.2,0.02,0.0,0.687618999989354
0.0,0.2,0.53,1.0,0.48761687499063555
0.0,0.2,0.01,1.0,0.49560700000438374
0.0,0.2,0.02,1.0,0.5119195000006584
0.0,0.2,0.27,1.0,0.4076387499953853
0.0,0.2,0.07,1.0,0.35953658299695235
0.0,0.2,0.14,1.0,0.47109500000078697
0.0,0.2,0.04,1.0,0.38357662501221057
0.0,0.2,0.07,1.0,0.4716477500041947
0.0,0.2,0.04,0.0,0.6955762910074554
0.0,0.2,0.53,1.0,0.43173266599478666
0.0,0.2,0.27,1.0,0.45560841700353194
0.0,0.2,0.02,0.0,0.607618416994228
0.0,0.2,0.14,1.0,0.46357233299931977
0.0,0.2,0.01,0.0,0.5516762920015026
0.0,0.2,0.14,1.0,0.5596088329912163
0.0,0.2,0.04,0.0,0.5275447500025621
0.0,0.2,0.01,0.0,0.5756497499969555
0.0,0.2,0.07,1.0,0.495596041000681
0.0,0.2,0.02,1.0,0.5355379160027951
0.0,0.2,0.53,1.0,0.6396474579960341
0.0,0.2,0.27,1.0,0.48753100000612903
0.0,0.2,0.07,0.0,0.6790100830112351
0.0,0.2,0.53,1.0,1.175615583997569
0.0,0.2,0.02,1.0,1.5467344999924535
0.0,0.2,0.04,1.0,0.759623541001929
0.0,0.2,0.27,1.0,0.46359654200205114
0.0,0.2,0.14,1.0,0.43954754099831916
0.0,0.2,0.01,1.0,0.6159113339963369
0.0,0.2,0.07,1.0,0.40759916699607857
0.0,0.2,0.04,1.0,0.47155491600278765
0.0,0.2,0.01,1.0,0.46364470799744595
0.0,0.2,0.27,1.0,0.17553924999083392
0.0,0.2,0.53,1.0,0.14373179199174047
0.0,0.2,0.02,0.0,0.3755540830024984
0.0,0.2,0.14,1.0,0.3995355829974869
0.0,0.2,0.02,1.0,0.4635506670019822
